trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,3,-135.0075785834688,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 3}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,2,23.871328748694687,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,9,-74.98008797154392,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,5,-8.658706098726942,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,0,-5.311028944483928,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,16,7.6265994666127455,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,10,15.757409133881508,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",30,17,8.170900499539608,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",25,12,8.59280819029202,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",20,7,6.130372581052011,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
